6326,6471,6301,6503,6991,6502,6770,6501,6703,6701,6752,6753,7270,7261,7731,7733,7752,7911,7912,3101,4021,4010,5002,5108,5332,5406,5401,5801,5802,7012
クボタ,日本精工,コマツ,三菱電機,松下電工,東芝,アルプス電気,日立,沖電気,NEC,松下電器産業,シャープ,富士重工業,マツダ,ニコン,オリンパス,リコー,凸版印刷,大日本印刷,東洋紡,日産化学工業,三菱化学,昭和シェル石油,ブリジストン,TOTO,神戸製鋼所,新日本製鉄,古河電気工業,住友電気工業,川崎重工業
303,337,454,316,682,344,1444,490,244,440,1049,1284,456,250,915,1910,1786,814,1194,181,483,218,781,1335,556,72,162,271,760,103
309,343,450,335,687,348,1482,502,262,459,1043,1310,460,250,945,1930,1808,824,1187,185,482,217,795,1326,561,74,161,271,775,104
314,359,441,341,681,345,1468,505,254,453,1055,1314,449,245,930,1888,1812,820,1203,189,475,218,784,1308,563,72,154,269,792,102
311,352,446,332,682,339,1490,490,247,443,1070,1303,436,235,909,1893,1810,831,1224,193,479,215,790,1323,563,72,149,277,800,104
315,350,443,335,690,338,1486,484,251,438,1065,1300,437,231,893,1907,1794,826,1211,188,473,217,767,1320,570,71,150,281,785,105
297,325,423,330,672,330,1463,461,240,422,1065,1278,437,221,862,1841,1786,810,1158,182,448,207,753,1304,567,68,143,266,753,100
296,317,415,315,661,332,1430,450,234,409,1031,1250,437,219,829,1851,1740,799,1184,177,438,202,762,1289,564,69,141,251,730,98
280,317,399,316,652,318,1365,435,232,398,1011,1200,435,218,813,1850,1691,750,1134,176,432,201,751,1240,558,69,137,252,718,95
286,310,409,323,642,328,1364,455,251,407,1031,1206,436,219,824,1801,1700,750,1148,180,436,202,730,1265,541,69,141,254,743,96
287,311,411,316,634,322,1352,439,242,399,1045,1205,429,217,830,1812,1675,751,1121,179,423,204,719,1270,547,71,138,256,758,97
285,317,422,320,629,332,1368,443,251,413,1071,1240,425,216,856,1847,1725,745,1127,180,430,203,708,1337,530,68,145,261,765,96
287,306,401,315,619,326,1360,432,242,394,1040,1210,427,208,833,1822,1738,742,1124,177,426,201,727,1356,509,69,144,239,745,95
291,317,422,322,622,337,1376,445,244,402,1042,1244,429,212,870,1865,1784,736,1120,180,430,202,712,1398,548,72,144,251,747,96
298,317,436,326,622,350,1377,451,246,401,1039,1249,429,215,899,1883,1799,750,1146,182,439,214,707,1409,528,71,140,254,747,103
307,324,438,340,632,351,1439,467,250,417,1068,1259,436,222,908,1910,1811,766,1171,188,451,217,749,1406,537,71,143,264,763,105
319,334,455,358,652,361,1490,477,259,443,1083,1294,447,227,926,1970,1861,793,1189,191,463,221,787,1430,555,71,147,269,784,108
312,326,446,346,644,339,1414,456,254,425,1065,1255,439,223,885,1924,1809,786,1157,189,459,217,775,1370,557,71,146,262,773,105
314,333,450,345,646,338,1458,453,256,426,1065,1271,444,227,889,1941,1882,773,1140,189,479,221,790,1405,551,71,149,264,784,105
320,341,452,352,660,329,1480,448,265,420,1074,1246,451,227,893,1928,1893,798,1178,187,487,212,790,1431,557,73,147,264,799,105
312,335,458,346,638,323,1433,436,261,419,1067,1219,450,220,866,1915,1887,805,1174,184,490,215,788,1440,543,73,146,264,786,101
298,322,436,327,618,313,1425,413,259,391,1013,1170,436,213,827,1839,1853,753,1134,174,468,210,764,1393,526,70,142,247,740,99
